Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
2 hours,Contact the organiser to request a refund.,"☘️🇮🇪 Join us on the 12th of March for an early St. Patrick's Day celebration featuring two Irish comedians and two outstanding Irish music acts in a special show!☘️ 🇮🇪🌟 The comedians 🌟@freddie_obrien_dl 🇮🇪With years of living La Dolce Vita, Freddie O'Brien brings a unique perspective to the stage, as he shares his adventures navigating the nuances of Italian life with an unmistakably Irish twist@erik.bolner 🇮🇪 🇮🇹As a proud blend of Irish and Italian heritage, Erik brings a special flavour to the stage, bridging the cultural gap with humour and anecdotes that draw from both worlds🎵 The music acts 🎵@phoebedipplemusic🎙️Phoebe Dipple will enchant you with soulful renditions of traditional and modern Irish tunes🎶@neilxarthur 🪕Experience the authentic sounds of Ireland with Neil Arthur, a skilled musician bringing his Irish roots to the heart of Rome.Welcome Gifts 🍺😉🎶",11.88,11.88,EUR,The International Comedy Show,https://schema.org/EventScheduled,2024-03-12T20:00:00Z,2024-03-12T22:00:00Z,Irish Comedy And Music Festival,"Irish Comedy & Music Extravaganza in Italy! 2 Irish Comedians, 2 Irish Music Acts, right in the centre of Rome!",https://www.eventbrite.ie/e/irish-comedy-and-music-festival-tickets-845736339157,roma,NA
NA,Contact the organizer to request a refund.,NA,117.53,117.53,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T19:00:00Z,Taste the Best of the Trastevere District - Food Tours by Cozymeal™,"Learn all about Rome's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “Taste the Best of the Trastevere District”, with Guide Jorge or Local Guide for a fun 3-hour experience with 5 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Taste the Best of the Trastevere District",https://www.eventbrite.com/e/taste-the-best-of-the-trastevere-district-food-tours-by-cozymealtm-tickets-788767002337,roma,Sold out
NA,Contact the organizer to request a refund.,NA,96.19,96.19,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T18:30:00Z,Homemade Pasta and Roman Sauce - Cooking Class by Cozymeal™,"Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Homemade Pasta and Roman Sauce” with Chef Davide for an intimate 2.5-hour culinary experience and 3-course meal.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Homemade Pasta and Roman Sauce",https://www.eventbrite.com/e/homemade-pasta-and-roman-sauce-cooking-class-by-cozymealtm-tickets-797526161217,roma,Sold out
NA,Contact the organizer to request a refund.,NA,91.92,91.92,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T18:00:00Z,Roman Pizza Feast - Team Building by Cozymeal™,"Book a unique team building event centered around sharing an incredible meal together! Join Cozymeal’s team building activity “Roman Pizza Feast” with Chef Davide and connect with your team during a 2-hour culinary experience  and enjoy a 3-course meal together.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Roman Pizza Feast",https://www.eventbrite.com/e/roman-pizza-feast-team-building-by-cozymealtm-tickets-797484476537,roma,Sold out
NA,Contact the organizer to request a refund.,NA,91.92,91.92,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T18:00:00Z,Fresh Homemade Pasta - Team Building by Cozymeal™,"Book a unique team building event centered around sharing an incredible meal together! Join Cozymeal’s team building activity “Fresh Homemade Pasta” with Chef Davide and connect with your team during a 2-hour culinary experience  and enjoy a 3-course meal together.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Fresh Homemade Pasta",https://www.eventbrite.com/e/fresh-homemade-pasta-team-building-by-cozymealtm-tickets-797484566807,roma,Sold out
NA,Contact the organizer to request a refund.,NA,91.92,91.92,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T18:00:00Z,Scratch-Made Italian Gnocchi - Team Building by Cozymeal™,"Book a unique team building event centered around sharing an incredible meal together! Join Cozymeal’s team building activity “Scratch-Made Italian Gnocchi” with Chef Davide and connect with your team during a 2-hour culinary experience  and enjoy a 3-course meal together.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Scratch-Made Italian Gnocchi",https://www.eventbrite.com/e/scratch-made-italian-gnocchi-team-building-by-cozymealtm-tickets-797526311667,roma,Sold out
NA,Contact the organizer to request a refund.,NA,106.86,106.86,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T19:00:00Z,A Culinary Adventure in Charming Trastevere - Food Tours by Cozymeal™,"Learn all about Rome's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “A Culinary Adventure in Charming Trastevere”, with Guide Jorge or Local Guide for a fun 3-hour experience with 5 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit A Culinary Adventure in Charming Trastevere",https://www.eventbrite.com/e/a-culinary-adventure-in-charming-trastevere-food-tours-by-cozymealtm-tickets-792315154957,roma,Sold out
NA,Contact the organizer to request a refund.,"🌟 Come join us for a fantastic day experiencing ancient Rome! 🍷 🏛️ We'll start our adventure with Rome's most panoramic view at the ""Orange Gardens of Rome"". With our lively guide, you'll step back in time to the days of emperors and empresses. Get ready for captivating stories of power, drama, and love that once filled these ancient streets. 🍷 But wait, there's more! As we wander through Rome's historic center, we'll stop at hidden gems of Rome, to enjoy authentic Italian wines and liquors that are served by our guide, while learning about the city's history. Sip and enjoy like a true Roman, surrounded by the city's timeless beauty. 🗺️ Our route is carefully planned to let you experience Rome's history and flavors perfectly. Discover hidden treasures and hear stories you won't find in guidebooks. 🤩 What makes our tour special is the passion of our hosts. Their enthusiasm and deep knowledge of Rome's past will make you feel like a cherished guest, not just a tourist. 👥 This experience is great for solo travelers, couples, and groups of friends seeking a mix of history and fun. Whether you love history or just want a day of laughter and drinks, we promise an unforgettable journey through Rome. 🔥 Don't miss out on this exclusive Roman tradition. Book now and get ready to toast to ancient Rome's rulers while making memories to last a lifetime. Cheers! 🥂🇮🇹",53.5,53.5,EUR,When in Rome - Adventures,https://schema.org/EventScheduled,2024-03-12T14:30:00Z,2024-03-12T17:00:00Z,Day drinking in Rome - Scandalous Roman History,"Join the funniest  experience in Rome, for a day filled with history, laughter, and the best local drinks. History has never been so fun! :)",https://www.eventbrite.it/e/day-drinking-in-rome-scandalous-roman-history-tickets-849364521147,roma,Sold out
NA,Contact the organizer to request a refund.,"Would you like to discover the dark side of the Eternal City? This is the perfect tour for you!  Start your adventure at the Capuchin Crypt, a place adorned with the skeletal remains of past inhabitants. Stand in awe before the Trevi Fountain, a masterpiece that echoes tales of wishes; toss a coin to ensure your return to Rome. Continue your odyssey through the cobbled streets, arriving at the Pantheon, where ancient myths intertwine with reality. In Piazza Navona, your guide will talk about the spectral presences lingering within the palaces facing the square, adding an ethereal layer to the splendid surroundings. Stroll through Campo dei Fiori to learn about the impressive but sad history of Giordano Bruno. Then, admire the imposing Palazzo Farnese, a Renaissance palace that hides stories of power and intrigue within its walls. The tour concludes in a church steeped in mystery. Your guide will unravel the enigmatic tales surrounding this sacred place, leaving you with a sense of wonder as you reflect on the secrets that lie beneath the surface of the Eternal City. Book your spot now!",64,64,EUR,RomeAbout Tours,https://schema.org/EventScheduled,2024-03-12T17:00:00Z,2024-03-12T19:00:00Z,Haunted Rome: The dark side of the Eternal City,Immerse yourself in the mysterious history of Rome on a guided tour with a Capuchin Crypt visit. Unveil secrets that only a few people know.,https://www.eventbrite.com/e/haunted-rome-the-dark-side-of-the-eternal-city-tickets-785747761707,roma,Sold out
NA,Contact the organizer to request a refund.,"A 60 second glance at each artefact in the Vatican Museums and the Sistine Chapel would cost you 13 years of your life! To make sure you don’t leave with grey hair, this escape game will guide you through a hand-picked collection of highlights and intriguing artefacts found in the museums. It will also provide you with a comprehensive and entertaining history of its many wonders. You’re a click away from unlocking our most exciting Vatican experience! Please note that the opening hours for the Vatican Museum are the following: Mon - Thu 8:30 - 18:30 Fri - Sat 8:30 - 22:30 Sun - Closed ! Important disclaimer: please note that this game can only be played if you have purchased entry tickets to the Vatican Museums. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-12T13:00:00Z,2024-03-12T14:30:00Z,Vatican Museums & The Sistine Chapel: Outdoor Escape Game,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/vatican-museums-the-sistine-chapel-outdoor-escape-game-tickets-730847142477,roma,Sold out
